,antecedents,consequents,antecedent support,consequent support,support,confidence,lift
103,frozenset({'sausage'}),"frozenset({'yogurt', 'tropical fruit'})",0.2060030785017958,0.07567983581323756,0.023601847101077475,0.1145703611457036,1.513882263545602
104,"frozenset({'soda', 'bottled water'})","frozenset({'whole milk', 'other vegetables'})",0.07619291944586967,0.1913801949717804,0.022062596203181118,0.2895622895622896,1.513021185943438
105,"frozenset({'whole milk', 'other vegetables'})","frozenset({'soda', 'bottled water'})",0.1913801949717804,0.07619291944586967,0.022062596203181118,0.11528150134048257,1.513021185943438
106,frozenset({'sausage'}),frozenset({'sugar'}),0.2060030785017958,0.0659312467932273,0.02052334530528476,0.099626400996264,1.5110650236709613
107,frozenset({'sugar'}),frozenset({'sausage'}),0.0659312467932273,0.2060030785017958,0.02052334530528476,0.31128404669260695,1.511065023670961
108,"frozenset({'sausage', 'whole milk', 'soda'})",frozenset({'rolls/buns'}),0.04002052334530529,0.3496664956387891,0.02103642893791688,0.5256410256410255,1.5032639163233439
109,frozenset({'rolls/buns'}),"frozenset({'sausage', 'whole milk', 'soda'})",0.3496664956387891,0.04002052334530529,0.02103642893791688,0.06016140865737344,1.5032639163233439
110,frozenset({'shopping bags'}),"frozenset({'canned beer', 'whole milk'})",0.16829143150333503,0.08722421754746024,0.022062596203181118,0.13109756097560976,1.5029949784791967
111,"frozenset({'canned beer', 'whole milk'})",frozenset({'shopping bags'}),0.08722421754746024,0.16829143150333503,0.022062596203181118,0.2529411764705882,1.5029949784791965
112,frozenset({'sausage'}),"frozenset({'yogurt', 'other vegetables'})",0.2060030785017958,0.12031811185223192,0.03719856336582863,0.1805728518057285,1.5007952587179736
113,"frozenset({'yogurt', 'other vegetables'})",frozenset({'sausage'}),0.12031811185223192,0.2060030785017958,0.03719856336582863,0.30916844349680167,1.5007952587179736
114,"frozenset({'yogurt', 'bottled water'})",frozenset({'sausage'}),0.06644433042585941,0.2060030785017958,0.02052334530528476,0.3088803088803089,1.4993965678897185
115,frozenset({'sausage'}),"frozenset({'yogurt', 'bottled water'})",0.2060030785017958,0.06644433042585941,0.02052334530528476,0.099626400996264,1.4993965678897185
116,"frozenset({'yogurt', 'soda'})","frozenset({'whole milk', 'other vegetables'})",0.09748589020010262,0.1913801949717804,0.027963057978450487,0.2868421052631579,1.4988076760265274
117,"frozenset({'whole milk', 'other vegetables'})","frozenset({'yogurt', 'soda'})",0.1913801949717804,0.09748589020010262,0.027963057978450487,0.14611260053619302,1.4988076760265272
118,"frozenset({'yogurt', 'whole milk'})","frozenset({'other vegetables', 'soda'})",0.15059004617752694,0.1241662390969728,0.027963057978450487,0.1856899488926746,1.49549467104059
119,"frozenset({'other vegetables', 'soda'})","frozenset({'yogurt', 'whole milk'})",0.1241662390969728,0.15059004617752694,0.027963057978450487,0.22520661157024793,1.49549467104059
120,frozenset({'bottled water'}),"frozenset({'whole milk', 'other vegetables', 'soda'})",0.21369933299127758,0.06926629040533606,0.022062596203181118,0.10324129651860744,1.4904984215908588
121,"frozenset({'whole milk', 'other vegetables', 'soda'})",frozenset({'bottled water'}),0.06926629040533606,0.21369933299127758,0.022062596203181118,0.31851851851851853,1.4904984215908585
122,frozenset({'whole milk'}),"frozenset({'yogurt', 'other vegetables', 'bottled water'})",0.4581836839404823,0.0323242688558235,0.022062596203181118,0.048152295632698766,1.489663876002062
123,"frozenset({'yogurt', 'other vegetables', 'bottled water'})",frozenset({'whole milk'}),0.0323242688558235,0.4581836839404823,0.022062596203181118,0.6825396825396826,1.489663876002062
124,"frozenset({'whole milk', 'other vegetables', 'tropical fruit'})",frozenset({'yogurt'}),0.050538737814263726,0.28296562339661363,0.02129297075423294,0.42131979695431476,1.4889433984840608
125,frozenset({'yogurt'}),"frozenset({'whole milk', 'other vegetables', 'tropical fruit'})",0.28296562339661363,0.050538737814263726,0.02129297075423294,0.07524932003626474,1.4889433984840605
126,"frozenset({'sausage', 'whole milk', 'other vegetables'})",frozenset({'rolls/buns'}),0.050282195997947664,0.3496664956387891,0.02616726526423807,0.5204081632653061,1.488298620989115
127,frozenset({'rolls/buns'}),"frozenset({'sausage', 'whole milk', 'other vegetables'})",0.3496664956387891,0.050282195997947664,0.02616726526423807,0.0748349229640499,1.4882986209891147
128,frozenset({'shopping bags'}),"frozenset({'other vegetables', 'soda'})",0.16829143150333503,0.1241662390969728,0.0310415597742432,0.18445121951219512,1.485518292682927
129,"frozenset({'other vegetables', 'soda'})",frozenset({'shopping bags'}),0.1241662390969728,0.16829143150333503,0.0310415597742432,0.25,1.485518292682927
130,"frozenset({'rolls/buns', 'canned beer'})",frozenset({'root vegetables'}),0.06670087224217547,0.23063109286813752,0.022832221652129298,0.34230769230769237,1.4842217848891934
131,frozenset({'root vegetables'}),"frozenset({'rolls/buns', 'canned beer'})",0.23063109286813752,0.06670087224217547,0.022832221652129298,0.09899888765294772,1.4842217848891932
132,frozenset({'margarine'}),frozenset({'frankfurter'}),0.11698306824012314,0.1375064135454079,0.023858388917393534,0.20394736842105263,1.4831844069128044
133,frozenset({'frankfurter'}),frozenset({'margarine'}),0.1375064135454079,0.11698306824012314,0.023858388917393534,0.17350746268656714,1.4831844069128042
134,"frozenset({'sausage', 'whole milk'})",frozenset({'yogurt'}),0.10697793740379682,0.28296562339661363,0.044894817855310416,0.4196642685851319,1.4830927642292333
135,frozenset({'yogurt'}),"frozenset({'sausage', 'whole milk'})",0.28296562339661363,0.10697793740379682,0.044894817855310416,0.1586582048957389,1.483092764229233
136,"frozenset({'whole milk', 'root vegetables'})",frozenset({'canned beer'}),0.11313494099538225,0.16521292970754234,0.027706516162134428,0.24489795918367346,1.4823171504626693
137,frozenset({'canned beer'}),"frozenset({'whole milk', 'root vegetables'})",0.16521292970754234,0.11313494099538225,0.027706516162134428,0.16770186335403725,1.4823171504626693
138,frozenset({'yogurt'}),"frozenset({'rolls/buns', 'whole milk', 'other vegetables'})",0.28296562339661363,0.08209338122113904,0.03437660338635198,0.1214868540344515,1.4798617407071624
139,"frozenset({'rolls/buns', 'whole milk', 'other vegetables'})",frozenset({'yogurt'}),0.08209338122113904,0.28296562339661363,0.03437660338635198,0.41875,1.4798617407071624
140,frozenset({'beef'}),"frozenset({'whole milk', 'root vegetables'})",0.11954848640328374,0.11313494099538225,0.020010261672652643,0.16738197424892703,1.479489649937228
141,"frozenset({'whole milk', 'root vegetables'})",frozenset({'beef'}),0.11313494099538225,0.11954848640328374,0.020010261672652643,0.17687074829931973,1.479489649937228
142,frozenset({'rolls/buns'}),"frozenset({'root vegetables', 'newspapers'})",0.3496664956387891,0.03873781426372499,0.020010261672652643,0.057226705796038155,1.4772827761122962
143,"frozenset({'root vegetables', 'newspapers'})",frozenset({'rolls/buns'}),0.03873781426372499,0.3496664956387891,0.020010261672652643,0.5165562913907285,1.4772827761122962
144,frozenset({'yogurt'}),"frozenset({'whole milk', 'chocolate'})",0.28296562339661363,0.04797331965110313,0.020010261672652643,0.07071622846781506,1.4740741099868615
145,"frozenset({'whole milk', 'chocolate'})",frozenset({'yogurt'}),0.04797331965110313,0.28296562339661363,0.020010261672652643,0.41711229946524064,1.4740741099868615
146,frozenset({'curd'}),"frozenset({'whole milk', 'bottled water'})",0.12083119548486403,0.11236531554643407,0.020010261672652643,0.1656050955414013,1.473809731553384
147,"frozenset({'whole milk', 'bottled water'})",frozenset({'curd'}),0.11236531554643407,0.12083119548486403,0.020010261672652643,0.1780821917808219,1.473809731553384
148,"frozenset({'sausage', 'bottled water'})",frozenset({'yogurt'}),0.04925602873268343,0.28296562339661363,0.02052334530528476,0.41666666666666663,1.4724992444847385
149,frozenset({'yogurt'}),"frozenset({'sausage', 'bottled water'})",0.28296562339661363,0.04925602873268343,0.02052334530528476,0.07252946509519492,1.4724992444847385
150,"frozenset({'curd', 'whole milk'})",frozenset({'bottled water'}),0.06362237044638276,0.21369933299127758,0.020010261672652643,0.31451612903225806,1.4717693529024514
151,frozenset({'bottled water'}),"frozenset({'curd', 'whole milk'})",0.21369933299127758,0.06362237044638276,0.020010261672652643,0.0936374549819928,1.4717693529024514
152,"frozenset({'whole milk', 'other vegetables'})","frozenset({'yogurt', 'tropical fruit'})",0.1913801949717804,0.07567983581323756,0.02129297075423294,0.11126005361930295,1.470141318671332
153,"frozenset({'yogurt', 'tropical fruit'})","frozenset({'whole milk', 'other vegetables'})",0.07567983581323756,0.1913801949717804,0.02129297075423294,0.28135593220338984,1.470141318671332
154,"frozenset({'whole milk', 'root vegetables'})","frozenset({'yogurt', 'other vegetables'})",0.11313494099538225,0.12031811185223192,0.020010261672652643,0.17687074829931973,1.4700259634770754
155,"frozenset({'yogurt', 'other vegetables'})","frozenset({'whole milk', 'root vegetables'})",0.12031811185223192,0.11313494099538225,0.020010261672652643,0.16631130063965885,1.4700259634770751
